portion_id	portion_submitter_id	case_id	case_submitter_id	project_id	sample_id	sample_submitter_id	state	portion_number	weight	is_ffpe
2102d1f5-40e4-41ea-a564-27aabf047bf9	TCGA-UL-AAZ6-01A-21-A43F-20	4b54e06e-a280-4981-a4e1-9aea154341b4	TCGA-UL-AAZ6	TCGA-BRCA	4530d39f-1a96-46b3-9964-cba7c03ad9c9	TCGA-UL-AAZ6-01A	live	21	--	False
b2a78311-1d5b-440a-a8eb-0d3141410525	TCGA-UL-AAZ6-01A-11	4b54e06e-a280-4981-a4e1-9aea154341b4	TCGA-UL-AAZ6	TCGA-BRCA	4530d39f-1a96-46b3-9964-cba7c03ad9c9	TCGA-UL-AAZ6-01A	live	11	30.0	False
95019552-484a-4f5b-a569-8c2a2f56003a	TCGA-UL-AAZ6-10A-01	4b54e06e-a280-4981-a4e1-9aea154341b4	TCGA-UL-AAZ6	TCGA-BRCA	06877bb2-15b9-40a3-b07b-1433044f6d82	TCGA-UL-AAZ6-10A	live	01	2.0	False
a55d0836-c6c2-4910-aa6a-a181d3da563b	TCGA-BH-A0B4-10A-01	c710f4ab-fbd9-42ed-95d4-4e6d51207f38	TCGA-BH-A0B4	TCGA-BRCA	9464dd98-4ec1-4fa1-94e0-a9c167913331	TCGA-BH-A0B4-10A	live	01	--	False
8406b2cf-e6f8-40ac-b0e9-f63535cc3574	TCGA-BH-A0B4-01A-21-A13C-20	c710f4ab-fbd9-42ed-95d4-4e6d51207f38	TCGA-BH-A0B4	TCGA-BRCA	481cdbff-1f84-4508-ad9f-21a61009d68a	TCGA-BH-A0B4-01A	live	21	--	False
94be0653-e674-4db5-90e3-c29f7336029b	TCGA-BH-A0B4-01A-11	c710f4ab-fbd9-42ed-95d4-4e6d51207f38	TCGA-BH-A0B4	TCGA-BRCA	481cdbff-1f84-4508-ad9f-21a61009d68a	TCGA-BH-A0B4-01A	live	11	30.0	False
e1bd54aa-7e28-47ce-98fb-95593ee07f96	TCGA-AR-A24L-01A-21-A17I-20	de646f6a-6d50-4be2-b3cd-f17554b234df	TCGA-AR-A24L	TCGA-BRCA	f773ae1d-0ad9-42dd-9675-c8b7287fec85	TCGA-AR-A24L-01A	live	21	--	False
e1754fe8-684d-4a68-a19a-00f36b783e41	TCGA-AR-A24L-01A-11	de646f6a-6d50-4be2-b3cd-f17554b234df	TCGA-AR-A24L	TCGA-BRCA	f773ae1d-0ad9-42dd-9675-c8b7287fec85	TCGA-AR-A24L-01A	live	11	30.0	False
68110e64-c191-4a98-acf1-0cf58fadde6a	TCGA-AR-A24L-10A-01	de646f6a-6d50-4be2-b3cd-f17554b234df	TCGA-AR-A24L	TCGA-BRCA	6c668c1b-5d32-4283-8ee8-d6f4a8daeb48	TCGA-AR-A24L-10A	live	01	--	False
114061e5-c3f6-4aaa-94b4-fa750a4d305b	TCGA-AN-A04C-01A-21	66072c06-f251-4f0b-b6ae-12b407c52cc6	TCGA-AN-A04C	TCGA-BRCA	4a7e95e4-58b5-4e96-a029-98f294b3cd54	TCGA-AN-A04C-01A	live	21	30.0	False
d6b7032e-a35d-4e29-bf61-84b65dd7b044	TCGA-AN-A04C-10A-01	66072c06-f251-4f0b-b6ae-12b407c52cc6	TCGA-AN-A04C	TCGA-BRCA	7de2f81f-5768-4656-b467-7967519986b1	TCGA-AN-A04C-10A	live	01	2.0	False
d9e43522-6d2f-44da-8996-274e19a6cb54	TCGA-C8-A1HJ-10A-01	a855c228-a263-44df-87a0-cbc32187e3f5	TCGA-C8-A1HJ	TCGA-BRCA	c30b2fd4-0a2d-4136-8873-6e0bc540b722	TCGA-C8-A1HJ-10A	live	01	2.0	False
3907e88e-b883-4f66-9e4c-4899f6e55271	TCGA-C8-A1HJ-01A-11	a855c228-a263-44df-87a0-cbc32187e3f5	TCGA-C8-A1HJ	TCGA-BRCA	e11024c2-709d-4e47-a9f3-45894a27f2bb	TCGA-C8-A1HJ-01A	live	11	30.0	False
6528f6b1-d0f5-413c-a304-0fa218a132ac	TCGA-C8-A1HJ-01A-21-A17J-20	a855c228-a263-44df-87a0-cbc32187e3f5	TCGA-C8-A1HJ	TCGA-BRCA	e11024c2-709d-4e47-a9f3-45894a27f2bb	TCGA-C8-A1HJ-01A	live	21	--	False
a3ac4aa0-5609-4c2e-9a7a-fc76b60964ff	TCGA-AN-A0XN-01A-21	4e3699da-4367-4a43-9d66-a117d3ad460d	TCGA-AN-A0XN	TCGA-BRCA	41dc8345-7968-42b2-af20-8501b9d2223d	TCGA-AN-A0XN-01A	live	21	30.0	False
20ec155a-e210-4e70-8de0-236318167eff	TCGA-AN-A0XN-01A-11-A13D-20	4e3699da-4367-4a43-9d66-a117d3ad460d	TCGA-AN-A0XN	TCGA-BRCA	41dc8345-7968-42b2-af20-8501b9d2223d	TCGA-AN-A0XN-01A	live	11	--	False
a50b862c-d3a6-40f8-9440-34f4f4a83c9c	TCGA-AN-A0XN-10A-01	4e3699da-4367-4a43-9d66-a117d3ad460d	TCGA-AN-A0XN	TCGA-BRCA	2ea40f1b-2646-4f2c-95f7-7bee8dce52c4	TCGA-AN-A0XN-10A	live	01	200.0	False
5f8ebbf7-492c-4097-b5d5-e5659da8adc6	TCGA-A2-A0YG-10A-01	c0892598-1f7b-4f23-9cd8-731f797753d5	TCGA-A2-A0YG	TCGA-BRCA	fe03fd53-82b8-4c77-9644-1cb989873811	TCGA-A2-A0YG-10A	live	01	--	False
2d2789e0-0933-496a-a29b-63c0b05cfa19	TCGA-A2-A0YG-01A-31-A13D-20	c0892598-1f7b-4f23-9cd8-731f797753d5	TCGA-A2-A0YG	TCGA-BRCA	5006c942-bc9a-41cb-8674-2341b4e66230	TCGA-A2-A0YG-01A	live	31	--	False
fd5b5379-e9d1-4b05-ae35-29bd73f0c37f	TCGA-A2-A0YG-01A-41-A21V-30	c0892598-1f7b-4f23-9cd8-731f797753d5	TCGA-A2-A0YG	TCGA-BRCA	5006c942-bc9a-41cb-8674-2341b4e66230	TCGA-A2-A0YG-01A	live	41	--	False
775ac050-00f7-44cc-9b82-91a0a879c9b9	TCGA-A2-A0YG-01A-21	c0892598-1f7b-4f23-9cd8-731f797753d5	TCGA-A2-A0YG	TCGA-BRCA	5006c942-bc9a-41cb-8674-2341b4e66230	TCGA-A2-A0YG-01A	live	21	30.0	False
5176694f-0b30-45c3-a2a1-67ca71f97565	TCGA-A2-A1G4-10A-01	e3b555aa-7f0a-49c6-9b13-182c61a144c1	TCGA-A2-A1G4	TCGA-BRCA	080d6c51-3aef-4d93-9e90-5fcc41fe5b94	TCGA-A2-A1G4-10A	live	01	--	False
